,times,train_loss,test_loss,train_acc,test_acc,eta
0,0.008573745843023062,0.6874264234421881,0.6868865137600034,51.7,52.0,0.31817641039007005
1,0.01176820183172822,0.682418661733839,0.6806490265027956,57.0,56.32183908045977,0.43535086269570017
2,0.01112113194540143,0.6800498677503095,0.6771990008404716,60.5,60.64367816091954,0.29111143875613854
3,0.01133883185684681,0.6763544126278986,0.6706088013758588,67.0,67.3103448275862,0.6883437056411905
4,0.010843096766620874,0.6753563490201673,0.6683739215728836,68.5,69.24137931034483,0.3125662118528955
5,0.011277300771325827,0.6744227053180301,0.6659217641796054,69.2,70.34482758620689,0.3996573364357965
6,0.013118549715727568,0.6737274575784773,0.6637519627827855,70.5,72.32183908045977,0.43150791955956536
7,0.012664875015616417,0.673051816384524,0.6610427376393246,71.4,73.14942528735632,0.692317383218748
8,0.01221279427409172,0.6727681354108387,0.6595311628026221,72.1,73.37931034482759,0.5212737294902519
9,0.012872484978288412,0.672675218019069,0.658944674191615,72.2,73.70114942528735,0.2474675473851601
10,0.010866005904972553,0.6725957338139904,0.6583771417244486,72.5,73.93103448275862,0.2701261267861769
11,0.011027669999748468,0.6725122462232037,0.6576893738017535,72.6,73.93103448275862,0.3777853802254039
12,0.011844984255731106,0.6724303409720086,0.6568609258728891,73.1,74.16091954022988,0.5624573624568451
13,0.009693108964711428,0.6723972212097867,0.6564483336172113,73.1,74.06896551724138,0.3521982992339275
