,times,train_loss,test_loss,train_acc,test_acc,eta
0,0.002445114776492119,0.5961664455775597,0.6714636977853939,71.625,63.5,3.9999999999999996
1,0.0026782690547406673,0.5951605166890321,0.6734279165965158,71.625,63.5,3.9999999999999996
2,0.0027596522122621536,0.9192340367820275,1.170260878184588,71.625,63.5,3.9999999999999996
3,0.002789983991533518,2.6799646301044855,2.3744298855713892,28.375,36.5,3.9999999999999996
4,0.044530296698212624,inf,inf,28.375,36.5,3.9999999999999996
5,0.004803967196494341,inf,inf,28.375,36.5,3.9999999999999996
6,0.0034112627618014812,inf,inf,28.375,36.5,3.9999999999999996
7,0.0033661597408354282,inf,inf,28.375,36.5,3.9999999999999996
8,0.003686352167278528,inf,inf,28.375,36.5,3.9999999999999996
9,0.0038676001131534576,inf,inf,28.375,36.5,3.9999999999999996
10,0.003817441873252392,inf,inf,28.375,36.5,3.9999999999999996
11,0.003659201320260763,inf,inf,28.375,36.5,3.9999999999999996
12,0.0036447709426283836,inf,inf,28.375,36.5,3.9999999999999996
13,0.0037021590396761894,inf,inf,28.375,36.5,3.9999999999999996
14,0.003715192899107933,inf,inf,28.375,36.5,3.9999999999999996
15,0.003883102908730507,inf,inf,28.375,36.5,3.9999999999999996
16,0.0036412402987480164,inf,inf,28.375,36.5,3.9999999999999996
17,0.0029842169024050236,inf,inf,28.375,36.5,3.9999999999999996
18,0.0018336139619350433,inf,inf,28.375,36.5,3.9999999999999996
19,0.0018854676745831966,inf,inf,28.375,36.5,3.9999999999999996
20,0.001895796973258257,inf,inf,28.375,36.5,3.9999999999999996
21,0.0019039800390601158,inf,inf,28.375,36.5,3.9999999999999996
22,0.0018322980031371117,inf,inf,28.375,36.5,3.9999999999999996
23,0.0018683187663555145,inf,inf,28.375,36.5,3.9999999999999996
24,0.0018877731636166573,inf,inf,28.375,36.5,3.9999999999999996
25,0.0018862420693039894,inf,inf,28.375,36.5,3.9999999999999996
26,0.0020643826574087143,inf,inf,28.375,36.5,3.9999999999999996
27,0.0019235070794820786,inf,inf,28.375,36.5,3.9999999999999996
28,0.0018818001262843609,inf,inf,28.375,36.5,3.9999999999999996
29,0.0018667341209948063,inf,inf,28.375,36.5,3.9999999999999996
30,0.0019113211892545223,inf,inf,28.375,36.5,3.9999999999999996
31,0.001894908957183361,inf,inf,28.375,36.5,3.9999999999999996
32,0.001847300212830305,inf,inf,28.375,36.5,3.9999999999999996
33,0.0019164131954312325,inf,inf,28.375,36.5,3.9999999999999996
34,0.0019502872601151466,inf,inf,28.375,36.5,3.9999999999999996
35,0.0017958972603082657,inf,inf,28.375,36.5,3.9999999999999996
36,0.0019202819094061852,inf,inf,28.375,36.5,3.9999999999999996
37,0.0018658172339200974,inf,inf,28.375,36.5,3.9999999999999996
38,0.0018614907748997211,inf,inf,28.375,36.5,3.9999999999999996
39,0.0019050678238272667,inf,inf,28.375,36.5,3.9999999999999996
40,0.0018422510474920273,inf,inf,28.375,36.5,3.9999999999999996
41,0.0018321522511541843,inf,inf,28.375,36.5,3.9999999999999996
42,0.0017971349880099297,inf,inf,28.375,36.5,3.9999999999999996
43,0.0018392028287053108,inf,inf,28.375,36.5,3.9999999999999996
44,0.0019340729340910912,inf,inf,28.375,36.5,3.9999999999999996
45,0.0018225600942969322,inf,inf,28.375,36.5,3.9999999999999996
46,0.0018347017467021942,inf,inf,28.375,36.5,3.9999999999999996
47,0.0019079246558248997,inf,inf,28.375,36.5,3.9999999999999996
48,0.0019494891166687012,inf,inf,28.375,36.5,3.9999999999999996
49,0.0018231556750833988,inf,inf,28.375,36.5,3.9999999999999996
50,0.0018286602571606636,inf,inf,28.375,36.5,3.9999999999999996
51,0.0018530301749706268,inf,inf,28.375,36.5,3.9999999999999996
52,0.0018471088260412216,inf,inf,28.375,36.5,3.9999999999999996
53,0.001838053110986948,inf,inf,28.375,36.5,3.9999999999999996
54,0.0018198247998952866,inf,inf,28.375,36.5,3.9999999999999996
55,0.0018072710372507572,inf,inf,28.375,36.5,3.9999999999999996
56,0.0018431362695991993,inf,inf,28.375,36.5,3.9999999999999996
57,0.0019116359762847424,inf,inf,28.375,36.5,3.9999999999999996
58,0.0018772929906845093,inf,inf,28.375,36.5,3.9999999999999996
59,0.0018269945867359638,inf,inf,28.375,36.5,3.9999999999999996
60,0.0018314570188522339,inf,inf,28.375,36.5,3.9999999999999996
61,0.0017970358021557331,inf,inf,28.375,36.5,3.9999999999999996
62,0.0018684729002416134,inf,inf,28.375,36.5,3.9999999999999996
63,0.0018600663170218468,inf,inf,28.375,36.5,3.9999999999999996
64,0.001841736026108265,inf,inf,28.375,36.5,3.9999999999999996
65,0.0018570292741060257,inf,inf,28.375,36.5,3.9999999999999996
66,0.0018410789780318737,inf,inf,28.375,36.5,3.9999999999999996
67,0.0018425900489091873,inf,inf,28.375,36.5,3.9999999999999996
68,0.0017957300879061222,inf,inf,28.375,36.5,3.9999999999999996
69,0.0018597343005239964,inf,inf,28.375,36.5,3.9999999999999996
70,0.0018442156724631786,inf,inf,28.375,36.5,3.9999999999999996
71,0.0017771292477846146,inf,inf,28.375,36.5,3.9999999999999996
72,0.0018384940922260284,inf,inf,28.375,36.5,3.9999999999999996
73,0.0018848050385713577,inf,inf,28.375,36.5,3.9999999999999996
74,0.001805284060537815,inf,inf,28.375,36.5,3.9999999999999996
75,0.0018467558547854424,inf,inf,28.375,36.5,3.9999999999999996
76,0.0017989748157560825,inf,inf,28.375,36.5,3.9999999999999996
77,0.0018669059500098228,inf,inf,28.375,36.5,3.9999999999999996
78,0.0018354062922298908,inf,inf,28.375,36.5,3.9999999999999996
79,0.001880014780908823,inf,inf,28.375,36.5,3.9999999999999996
80,0.001850103959441185,inf,inf,28.375,36.5,3.9999999999999996
81,0.0018769479356706142,inf,inf,28.375,36.5,3.9999999999999996
82,0.0018296516500413418,inf,inf,28.375,36.5,3.9999999999999996
83,0.0018395939841866493,inf,inf,28.375,36.5,3.9999999999999996
84,0.0017734472639858723,inf,inf,28.375,36.5,3.9999999999999996
85,0.003909629303961992,,,0.0,0.0,3.9999999999999996
86,0.0017550908960402012,,,0.0,0.0,3.9999999999999996
87,0.0017072283662855625,,,0.0,0.0,3.9999999999999996
88,0.0017077559605240822,,,0.0,0.0,3.9999999999999996
89,0.0017319009639322758,,,0.0,0.0,3.9999999999999996
90,0.0017835595645010471,,,0.0,0.0,3.9999999999999996
91,0.0017459969967603683,,,0.0,0.0,3.9999999999999996
92,0.001793998759239912,,,0.0,0.0,3.9999999999999996
