,times,data_upd_times,test_loss,test_acc,eta
0,3846.14625908155,3545.0465132528916,0.6544140024076371,67.506,0.5020031521358049
1,3804.0137000409886,3506.9115178240463,0.6264491975611293,71.3882,0.502045712766036
2,3812.6242478983477,3515.124138355255,0.6041822111140073,73.9368,0.5021619542354923
3,3778.1611351286992,3482.42819997482,0.5861133052341035,76.2748,0.5024502589734146
4,3770.9559141108766,3474.849149674177,0.5713902196744577,76.7664,0.5031863483295499
5,3791.0778107950464,3494.1384910251945,0.559282136202242,77.0966,0.5027013919638341
6,3786.1893025059253,3490.5897946953773,0.5489929909279644,77.043,0.5036352215843458
7,3779.9142122268677,3483.759129646234,0.5404557587966243,77.0962,0.5019955444487968
8,3876.446403376758,3571.9354084720835,0.5332019690259914,77.1232,0.5053884902826588
9,3934.137804181315,3624.3297777185217,0.526899353752898,77.6038,0.5018928499287494
