,times,data_upd_times,test_loss,test_acc,eta
0,5409.891208110377,4691.071006964892,1.6445704664330567,47.0986,40.0
1,5498.624602522701,4775.715120549314,1.1026369057795526,47.0986,40.0
2,5513.003042154014,4775.268956608139,1.3118162449028725,47.0986,40.0
3,5442.958219879307,4712.517193255946,2.4062625602576366,47.0986,40.0
4,5197.782049535774,4487.754578067921,1.6174309711200536,47.0986,40.0
5,4907.910805601627,4233.50256971363,2.7754146710088747,47.0986,40.0
6,4934.022934013046,4252.55927440431,1.7228354438723672,47.0986,40.0
7,4916.238683418371,4238.04772555083,2.830575736208248,47.0986,40.0
8,4941.638687257655,4258.291809064336,1.8760194943704578,47.0986,40.0
9,4851.213811099529,4182.319121965207,2.6802793225675874,47.0986,40.0
