,times,train_loss,test_loss,train_acc,test_acc,eta
0,2.083379596006125,19064114484.460594,9547374023.176874,59.7125,59.875,0.0012297520259075725
1,2.4068770059384406,4.229836985038753e+28,2.1182511455606485e+28,40.55625,40.225,0.0012297520259075725
2,2.4508909611031413,2.3705765866768795e+45,1.1877365070345202e+45,59.58125,59.85,0.0012297520259075725
3,2.472202931996435,3.485390157266147e+63,1.745971332996049e+63,40.40625,40.25,0.0012297520259075725
4,2.351543707307428,1.4783365997654462e+81,7.408501023721391e+80,59.4125,59.825,0.0012297520259075725
5,2.1932354141026735,2.6755145224798512e+98,1.340372354722182e+98,40.28125,40.2,0.0012297520259075725
6,2.082243516109884,3.1375765993204188e+116,1.5716881427824001e+116,59.6,59.75,0.0012297520259075725
7,2.0685375798493624,1.2757899008194482e+135,6.388678355441633e+134,40.6,40.1,0.0012297520259075725
8,2.343566980678588,3.547676958579538e+153,1.7783692490553867e+153,59.15,59.575,0.0012297520259075725
9,2.664665365125984,7.293258118803919e+171,3.6551610803181353e+171,40.49375,40.2,0.0012297520259075725
10,2.1476775677874684,2.7372033443198078e+187,1.3710023434079207e+187,40.15,40.15,0.0012297520259075725
11,2.104869111906737,7.168424070098084e+204,3.592831790455962e+204,59.1125,59.525,0.0012297520259075725
12,2.4149038228206336,5.99190160694231e+224,3.003516123049773e+224,41.29375,41.0,0.0012297520259075725
13,2.0017640399746597,5.1535476276904314e+241,2.5811310283782093e+241,40.2,40.125,0.0012297520259075725
14,2.200332931242883,8.084643773626488e+258,4.051660796913897e+258,40.6875,40.175,0.0012297520259075725
15,2.39633401716128,8.360216773441656e+275,4.1902616569305075e+275,40.85625,40.325,0.0012297520259075725
16,2.2195865609683096,3.523119714916439e+294,1.7642571843166964e+294,59.65625,59.9,0.0012297520259075725
17,2.6647832859307528,inf,inf,40.7125,40.175,0.0012297520259075725
18,2.040691561996937,inf,inf,59.58125,59.725,0.0012297520259075725
19,2.529917981941253,inf,inf,40.4875,40.175,0.0012297520259075725
20,2.742811294272542,inf,inf,59.2875,59.8,0.0012297520259075725
21,2.2180698360316455,inf,inf,41.54375,41.625,0.0012297520259075725
22,2.2027452709153295,inf,inf,59.3875,59.725,0.0012297520259075725
23,2.1104963393881917,inf,inf,40.16875,40.15,0.0012297520259075725
24,2.160087665077299,inf,inf,40.25,40.175,0.0012297520259075725
25,2.6811228217557073,inf,inf,40.325,40.125,0.0012297520259075725
26,2.360995899885893,inf,inf,59.1125,59.6,0.0012297520259075725
27,2.56373301288113,inf,inf,59.3,59.75,0.0012297520259075725
28,2.367037346586585,inf,inf,59.61875,59.775,0.0012297520259075725
29,1.9569133641198277,inf,inf,59.7375,59.925,0.0012297520259075725
30,1.9525577151216567,inf,inf,40.375,40.2,0.0012297520259075725
31,2.7189994640648365,inf,inf,59.39375,59.85,0.0012297520259075725
32,2.331999545916915,inf,inf,40.80625,40.4,0.0012297520259075725
33,2.7749344827607274,inf,inf,59.5375,59.7,0.0012297520259075725
34,2.7798548070713878,inf,inf,40.49375,40.275,0.0012297520259075725
35,2.3726523681543767,,,0.0,0.0,0.0012297520259075725
36,2.104042104911059,,,0.0,0.0,0.0012297520259075725
37,1.9071515477262437,,,0.0,0.0,0.0012297520259075725
38,2.5319916852749884,,,0.0,0.0,0.0012297520259075725
39,2.8339429050683975,,,0.0,0.0,0.0012297520259075725
40,2.1547965724021196,,,0.0,0.0,0.0012297520259075725
41,2.0515392520464957,,,0.0,0.0,0.0012297520259075725
42,2.068156416993588,,,0.0,0.0,0.0012297520259075725
43,2.0059280628338456,,,0.0,0.0,0.0012297520259075725
44,1.8889970839954913,,,0.0,0.0,0.0012297520259075725
45,2.471351200249046,,,0.0,0.0,0.0012297520259075725
46,2.6203429088927805,,,0.0,0.0,0.0012297520259075725
47,2.392173774074763,,,0.0,0.0,0.0012297520259075725
48,2.351696079131216,,,0.0,0.0,0.0012297520259075725
49,2.360874307807535,,,0.0,0.0,0.0012297520259075725
50,2.113006489817053,,,0.0,0.0,0.0012297520259075725
51,2.686665276065469,,,0.0,0.0,0.0012297520259075725
52,2.3381444979459047,,,0.0,0.0,0.0012297520259075725
53,2.5655376887880266,,,0.0,0.0,0.0012297520259075725
54,2.632729741744697,,,0.0,0.0,0.0012297520259075725
55,2.8180842767469585,,,0.0,0.0,0.0012297520259075725
56,2.345373461022973,,,0.0,0.0,0.0012297520259075725
57,2.5520299109630287,,,0.0,0.0,0.0012297520259075725
58,2.8074124129489064,,,0.0,0.0,0.0012297520259075725
59,2.101490512955934,,,0.0,0.0,0.0012297520259075725
60,2.455663012806326,,,0.0,0.0,0.0012297520259075725
61,1.987175390124321,,,0.0,0.0,0.0012297520259075725
62,2.7174526429735124,,,0.0,0.0,0.0012297520259075725
63,2.7321560820564628,,,0.0,0.0,0.0012297520259075725
64,2.739868586882949,,,0.0,0.0,0.0012297520259075725
65,2.748897874262184,,,0.0,0.0,0.0012297520259075725
66,2.840534904971719,,,0.0,0.0,0.0012297520259075725
67,2.1294755218550563,,,0.0,0.0,0.0012297520259075725
68,2.6971430322155356,,,0.0,0.0,0.0012297520259075725
69,2.367187209893018,,,0.0,0.0,0.0012297520259075725
70,2.647789769805968,,,0.0,0.0,0.0012297520259075725
71,1.9859989280812442,,,0.0,0.0,0.0012297520259075725
72,1.8743987591005862,,,0.0,0.0,0.0012297520259075725
73,2.6588607719168067,,,0.0,0.0,0.0012297520259075725
74,2.734967294614762,,,0.0,0.0,0.0012297520259075725
75,2.8074207371100783,,,0.0,0.0,0.0012297520259075725
76,2.7759195528924465,,,0.0,0.0,0.0012297520259075725
77,2.72823728621006,,,0.0,0.0,0.0012297520259075725
78,2.731542424764484,,,0.0,0.0,0.0012297520259075725
79,2.8192036631517112,,,0.0,0.0,0.0012297520259075725
80,2.778745269868523,,,0.0,0.0,0.0012297520259075725
81,2.770642434246838,,,0.0,0.0,0.0012297520259075725
82,2.7564706751145422,,,0.0,0.0,0.0012297520259075725
83,2.1919415341690183,,,0.0,0.0,0.0012297520259075725
84,2.1688357922248542,,,0.0,0.0,0.0012297520259075725
85,2.133788665756583,,,0.0,0.0,0.0012297520259075725
86,1.898568110074848,,,0.0,0.0,0.0012297520259075725
87,2.6508433991111815,,,0.0,0.0,0.0012297520259075725
88,2.7249826956540346,,,0.0,0.0,0.0012297520259075725
89,2.347312791738659,,,0.0,0.0,0.0012297520259075725
90,2.7124413759447634,,,0.0,0.0,0.0012297520259075725
91,2.705151201225817,,,0.0,0.0,0.0012297520259075725
92,1.9302329500205815,,,0.0,0.0,0.0012297520259075725
93,2.4194226232357323,,,0.0,0.0,0.0012297520259075725
94,2.2441091178916395,,,0.0,0.0,0.0012297520259075725
95,2.3487645080313087,,,0.0,0.0,0.0012297520259075725
96,2.11240326333791,,,0.0,0.0,0.0012297520259075725
97,2.792472498025745,,,0.0,0.0,0.0012297520259075725
98,2.1218194691464305,,,0.0,0.0,0.0012297520259075725
99,2.6141171911731362,,,0.0,0.0,0.0012297520259075725
