,times,data_upd_times,test_loss,test_acc,eta
0,4252.075214717537,3630.284675943665,7.819690349934615,54.1142,40.0
1,4259.490058970638,3632.879200635478,1.646645834172212,45.8858,40.0
2,4423.106171463616,3789.781985259615,5.393492592699076,54.1142,40.0
3,4393.930685565807,3765.0237307297066,3.3081184125616807,45.8858,40.0
4,4217.450937700458,3611.541856811382,6.7426087149611895,54.1142,40.0
5,4283.153321398422,3664.327396369539,1.00879866148851,45.8858,40.0
6,4192.070883625187,3583.361306933686,7.050196164633224,54.1142,40.0
7,4191.679653948173,3572.8248672867194,4.463826981954875,45.8858,40.0
8,4174.4350326135755,3569.6818293621764,7.659621705561689,54.1142,40.0
9,4323.676685848273,3704.534844414331,3.153690041309176,45.8858,40.0
